#{"t_start": 1775663657.234756, "env_id": "None"}
r,l,t
-542.977833,78,30.713614
-537.467858,68,56.347391
-533.059878,60,79.018062
-535.263868,64,103.201019
-537.467858,68,129.14621
-531.406885,57,158.147342
-536.365863,66,192.025174
-540.773843,74,229.138798
-531.406885,57,254.091277
-544.079828,80,288.09198
-535.263868,64,312.217454
-538.569853,70,338.563643
-539.12085,71,366.045045
-538.018855,69,393.056199
-545.73282,83,433.656388
-579.343667,144,514.970438
-579.343667,144,597.931945
